Country,Clicks,Impressions,CTR,Position
United States,3,14,21.43%,39.29
Sweden,1,2,50%,1.5
Brazil,0,3,0%,86.67
Russia,0,3,0%,96.33
Bangladesh,0,2,0%,47.5
Philippines,0,2,0%,49
Mexico,0,1,0%,82
Indonesia,0,1,0%,83
Italy,0,1,0%,88
Thailand,0,1,0%,92
Dominican Republic,0,1,0%,99
Poland,0,1,0%,99
Austria,0,1,0%,100
Iraq,0,1,0%,100
Turkey,0,1,0%,100
Venezuela,0,1,0%,100
South Korea,0,1,0%,101
