Date,Clicks,Impressions,CTR,Position
2025-02-07,1,25,4%,81.52
2025-02-06,0,2,0%,46.5
2025-02-05,0,0,0%,0
2025-02-04,0,0,0%,0
2025-02-03,0,0,0%,0
2025-02-02,0,0,0%,0
2025-02-01,2,4,50%,25.5
2025-01-31,0,1,0%,1
2025-01-30,0,2,0%,50.5
2025-01-29,0,1,0%,1
2025-01-28,1,2,50%,1.5
