# ----------------------------------------
# Events: Event name
# Account: Workflow Champions
# Property: workflowchampions.com
# ----------------------------------------
# 
# All Users
# Start date: 20241111
# End date: 20250208
Event name,Event count,Total users,Event count per active user,Total revenue
page_view,204,187,1.0909090909090908,0
session_start,192,187,1.0267379679144386,0
first_visit,187,187,1,0
scroll,26,20,1.3,0
user_engagement,23,14,1.6428571428571428,0
